sentence,highlight,category,subcategory,polarity
"The people in the United Kingdom will cease to eat beef if they see more evidence that it is related to the human equivalent of ""mad cow's disease"" or B.S.E. as it is also known.",NONE,NONE,NONE,NONE
The goverment claim that it will not effect humans and the tabloids argue it will effect us if we eat it.,NONE,NONE,NONE,NONE
The recent experiment on mice which supposidly proved that there is no link between B.S.E and the human equivalent was not seen as good evidence for the campaign by the Goverment.,not seen as good evidence,APPRECIATION,REACTION,NEG
"If the papers keep plugging away, saying ""beef is bad for you"", the people will slowly stop eating beef and choose a suitable replacement, for example lamb.",beef is bad for you,APPRECIATION,REACTION,NEG
It is in my view therefore that it is press blowing the situation out of all proportions that will be the down fall of beef in the U.K., blowing the situation out of all proportions,JUDGEMENT,PROPRIETY,NEG
"It was not long ago that the press anounced a killer bug eating people alive, thus catching the attention of the U.K.",killer bug eating people alive,APPRECIATION,REACTION,NEG
"When the press got bored of this story, the bug dissappeared and with it peoples worries about its effects.",NONE,NONE,NONE,NONE
When in reality it has still the same precense now as it ever had.,NONE,NONE,NONE,NONE
"""Out of sight, out of mind"", to coin an old phrase.",NONE,NONE,NONE,NONE
"If beef is left out of the publics eye, it will surely also go into the back of peoples minds along with, Salmonella, killer bugs and who knows what else the press drag up.",NONE,NONE,NONE,NONE
"Schools and some hospitals, households are already publicised as ""beef free"" and this is on the increase causing a fall in the demand for beef in the U.K.",NONE,NONE,NONE,NONE
This fall in demand is causing a large fall in price of the product and thus a fall in the income of farmers and the industry as a whole.,NONE,NONE,NONE,NONE
The simple supply and demand curve shows how a fall in beef will lead to a fall in prices as farmers are not likely to reduce supply as this would mean large scale slaughter and disposal of hundreds of beef cattle.,large scale slaughter and disposal,APPRECIATION,REACTION,NEG
"If the beef industry wants to survive there may be no option but to reduce supply S2 and keep price P1, but as with other agricultural commodities supply is difficult to alter.",wants to survive,JUDGEMENT,TENACITY,POS
Small farmers in the industry will go out of business as they canot afford to quickly change there product whereas larger farmers will diversify into lamb which appears to be the main substitute for beef at the moment.,go out of business,APPRECIATION,REACTION,NEG
"This will then cause an increase in lamb on the market over a period of time, as farmers cannot just alter machines but must buy in, fatten up and slaughter the lamb which takes time.",NONE,NONE,NONE,NONE
"An increase in beef on the market will mean an decrease in the price of lamb as supply increases and therefore a fall in the revenue of farmers already in the market so not only will beef loose out but also the farmers already in the lamb industry, in the long run.",lose out,APPRECIATION,REACTION,NEG
In the short run increased sales will mean increased profits in lamb.,NONE,NONE,NONE,NONE
"A fall in beef production will not only effect the Agricultural industris beef farmers but slaughter houses the beef went to, and the supplies of the food to feed the cattle.",slaughter houses,APPRECIATION,REACTION,NEG
The latter being the supposed cause of mad cows disease due to infected mixture of sheeps brains and other rubbish waste put into the cattles feed.,rubbish waste,APPRECIATION,COMPOSITION,NEG
"In conclusion, if the farmers and goverment cannot prove that they are clearing up there act and the risk of B.S.E is minimal or non existant then all will loose out.",clearing up there act ,JUDGEMENT,PROPRIETY,NEG
Sales will drop ever more then they are jobs will be lost.,jobs will be lost,APPRECIATION,REACTION,NEG
Scientists believe that it may not be safe to eat beef products.,may not be safe,APPRECIATION,REACTION,NEG
Several years ago the disease BSE or 'Mad Cow Disease' became quite commonplace amongst cattle.,NONE,NONE,NONE,NONE
"The disease incurs a mental deficiency, where the cow cannot think for itself, and slowly dies.",NONE,NONE,NONE,NONE
"This BSE has been known to cross the animal barriers; several sheep have had a similar disease after eating feed made from the reminants of dead, meatstripped cows.",NONE,NONE,NONE,NONE
"Now, scientists fear that it has crossed the boundary between cows and humans, as there are more and more cases of Creutzfeld-Jacob Disease (CJD) appearing more frequently.",fear that it has crossed the boundary between cows and humans,APPRECIATION,REACTION,NEG
"There is, as of yet, no cure for this disease, and the only way humans could contract it would be by eating beef products.",NONE,NONE,NONE,NONE
"This clearly has put a lot of people off beef, as the press also had coverage of the inefficient quality control by the government, and the fact that this has been going on for years is worrying.",inefficient quality control by the government,JUDGEMENT,CAPACITY,NEG
"The disease can take upto 15-20 years to become evident in humans, so even if people gave up beef today, they will have a chance of getting CJB.",NONE,NONE,NONE,NONE
"However, to give up the products now would reduce the chances of being crippled by this disease in the future.",being crippled,APPRECIATION,REACTION,NEG
"If a lot of people did give up beef products, this will have had effects on the agricultural industry.",NONE,NONE,NONE,NONE
Cattle farmers will be hit particularly badly if no-one wants to buy their meat., will be hit particularly badly,APPRECIATION,REACTION,NONE
It will affect other animals being sold for meat also; more people will want to buy the meat from sheep and pigs and so-on so they can still eat the same amount of meat.,NONE,NONE,NONE,NONE
The whole episode may send the price of beef down so people will buy it and take the risk (which must be tiny) rather than forking out for more expensive meat products.,NONE,NONE,NONE,NONE
"If no-one wants to eat beef then cows will only be bred for their milk, which means there will be less cows in the future possibly.",NONE,NONE,NONE,NONE
"If cows are no longer required by the public for food, some abbattoir workers may lose jobs, and several butchers, to whom the money from beef products is a considerable percentage of their income, may be hit hard by this.",hit hard,APPRECIATION,REACTION,NEG
"If cows are no longer required by the public for food, some abbattoir workers may lose jobs, and several butchers, to whom the money from beef products is a considerable percentage of their income, may be hit hard by this.",lose jobs,APPRECIATION,REACTION,NEG
"The politicians still say it is safe, and that they will continue to eat beef.",NONE,NONE,NONE,NONE
"However, a lot of these people are old, and by the time the disease has developed in them it won't really be too much of a premature death.",won't really be too much of a premature death,APPRECIATION,REACTION,NEG
"However, for us young people is the risk too great?",NONE,NONE,NONE,NONE
I haven't stopped eating it.,NONE,NONE,NONE,NONE
"The discovery of B.S.E and, althought yet to be fully proven, the human equivalent C.J.D, not only has effects detrimental to the population's health, but also on existence of the farmer, as part of a much needed and profitable industry.",detrimental to the the population's health,APPRECIATION,REACTION,NEG
Recent figures show a rise in the number of cases of B.S.E or 'mad cows disease' as it is commonly termed.,NONE,NONE,NONE,NONE
This increase has been blown out of proportion by the British press who have given the idea to the public that eating British beef can lead to the human equivalent.,blown out of proportion,JUDGEMENT,PROPRIETY,NEG
"C.J.D, in its worst cases, can cause death, however, they majority of cases involve severe damage to the brain, leaving most sufferers totally dependant on others.",NONE,NONE,NONE,NONE
"It is also the case, however, that the link between the consumption of British beef and C.J.D has certainly not been proven, infact from testing on mice it seems unlikely.",NONE,NONE,NONE,NONE
"Even though figures have risen in the U.K concerning the number of deaths resulting from C.J.D, this is considered by most experts to be merely due to the advances in medical technology so that they are now able to diagnose more cases, which would have previously gone unreported.",NONE,NONE,NONE,NONE
"A further factor which is often not realised is that the occurrence of C.J.D is not only limited to this country, infact the Netherlands has a higher resultant death rate.",often not realised,JUDGEMENT,CAPACITY,NEG
"(Although, the U.S.A is admittedly lower).",NONE,NONE,NONE,NONE
"Therefore, the scare over beef is not really justified but due to the effects of the press and the media, it is possible that the C.J.D scare could cause detrimental effects to the British farming community.",not really justified,JUDGEMENT,VERACITY,NEG
"Therefore, the scare over beef is not really justified but due to the effects of the press and the media, it is possible that the C.J.D scare could cause detrimental effects to the British farming community.",cause detrimental effects,APPRECIATION,WORTH,NEG
"The introduction of the common agricultural policy after the war was aimed at making most European counties self-sufficient, due to the fact that during the war counties like Britain almost starved to death due to the heavy reliance on imported food.",heavy reliance on imported food,JUDGEMENT,CAPACITY,NEG
"The introduction of the common agricultural policy after the war was aimed at making most European counties self-sufficient, due to the fact that during the war counties like Britain almost starved to death due to the heavy reliance on imported food.",self-sufficient,JUDGEMENT,CAPACITY,POS
"Therefore, Britain has achieved near full self-sufficiency, due to the supported income farmers recieve, whereby the European Union guarantees to buy any unsold stock at market price, so as to keep farmers in business.",near full sef-sufficiency,JUDGEMENT,CAPACITY,POS
"Therefore, the effects of a beef scare, would reduce public demand dramatically.",reduce public demand dramatically,APPRECIATION,REACTION,NEG
"Therefore, in simple terms the EU will be faced with a surplus of Q1-Q2, which could mean the imposition of further restrictions on production, called quotas.",NONE,NONE,NONE,NONE
"These limit the amount the farmer is allowed to produce, so that it is possible if their average revenue does not cover the variable costs e.g. petrol for tractors, and the fixed costs e.g. mortgage on farmhouse, then in the long run he will be unemployed.",unemployed,JUDGEMENT,CAPACITY,NEG
"However, even if this does not happen the E.U will be faced with huge unsaleable surpluses, which give large transport and storage costs.",huge unsaleable surpluses,APPRECIATION,REACTION,NEG
"However, even if this does not happen the E.U will be faced with huge unsaleable surpluses, which give large transport and storage costs.",large transport and storage costs,APPRECIATION,REACTION,NEG
"Therefore, the beef scare has, unless farmers can diversify into other products such as dairy farming (although even this change will cause a new surplus), the beef market appears to be becoming more and more reliant on an agricultural security system, which is coming under increasing pressure to cut its costs.",more and more reliant on an agricultural security system,JUDGEMENT,CAPACITY,NEG
"The people of the U.K. would seem to be ""going off"" eating beef, and I believe that there are two main reasons for this:",NONE,NONE,NONE,NONE
The BSE problem;,NONE,NONE,NONE,NONE
The rise of vegetarianism.,NONE,NONE,NONE,NONE
BSE is a disease that has been around for some time now in many forms.,NONE,NONE,NONE,NONE
"It affects sheep (scrapie), cattle (BSE) and humans (CJD).",NONE,NONE,NONE,NONE
All of these diseases are similar in progression and are likely to have the same cause.,NONE,NONE,NONE,NONE
"The probable infectious agents are called <?>, or protein fragments, and are tiny non-living infectious particles.",NONE,NONE,NONE,NONE
They must be actively taken in by an animal (i.e.they must be eaten) to have any effect.,NONE,NONE,NONE,NONE
They are very resilient to heat and so cooking possibly infected food does not help.,NONE,NONE,NONE,NONE
"When BSE was first publicised in the mass media several years ago, there was a huge outcry: - people were worried that they would catch the human form of the disease and so experts were brought in to calm people down.",huge outcry,APPRECIATION,REACTION,NEG
"After a while, as often happens, people largely forgot about BSE, but it didn't go away.",NONE,NONE,NONE,NONE
The problem was that increasing numbers of herd animals were having to be destroyed as they displayed BSC symptoms.,increasing numbers of herd animals were having to be destroyed,JUDGEMENT,PROPRIETY,NEG
"However, symptoms may not appear until several years after the initial onset of disease.",NONE,NONE,NONE,NONE
"People questioned: ""If there are no symptoms, how do we know that no infected animals are getting into the food chain?""",NONE,NONE,NONE,NONE
"The government reply was along lines of: ""Our safety precautions are enough to ensure that no infected beef is eaten,"" i.e.",our safety precautions are enough,APPRECIATION,COMPOSITION,POS
